source_id,candidate_seed_key,source_name,source_url,source_kind,retrieved_at,use_basis,facts_supported
src-vma-contact,hrva-virginia-maritime-association,Virginia Maritime Association Contact Us,https://vamaritime.com/Web/Web/About/Contact-Us.aspx,official_organization_webpage,2026-08-22,public_factual_reference,identity; Norfolk address; phone
src-williamsburg-chamber-contact,hrva-greater-williamsburg-chamber,Greater Williamsburg Chamber Contact,https://connect.williamsburgchamber.com/contact,official_organization_webpage,2026-08-22,public_factual_reference,identity; Williamsburg address; phone
src-peninsula-chamber-contact,hrva-virginia-peninsula-chamber,Virginia Peninsula Chamber Contact,https://business.virginiapeninsulachamber.com/contact,official_organization_webpage,2026-08-22,public_factual_reference,identity; Newport News address; phone
src-launchpad-jcc,hrva-launchpad-incubator,James City County Launchpad Incubator,https://www.jamescitycountyva.gov/2976/Launchpad-Incubator,official_local_government_webpage,2026-08-22,public_factual_reference,program identity; joint-initiative structure; Williamsburg location
src-bloom-about,hrva-bloom-coworking,Bloom Coworking About,https://bloomcoworking.org/about-w-video/,official_organization_webpage,2026-08-22,public_factual_reference,community/nonprofit positioning; organization background
src-bloom-privacy,hrva-bloom-coworking,Bloom Coworking Privacy Policy,https://bloomcoworking.org/privacy-policy/,official_organization_legal_page,2026-08-22,public_factual_reference,"Portsmouth Partnership, Inc. DBA relationship"
src-hampton-incubators,hrva-hampton-reaktor,City of Hampton Business Incubators,https://www.hampton.gov/2362/Business-Incubators,official_local_government_webpage,2026-08-22,public_factual_reference,program identity; incubator role
src-vb-hive,hrva-virginia-beach-hive,Virginia Beach The HIVE,https://yesvirginiabeach.com/the-hive,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,program identity; resource-hub role; location/contact
src-norfolk-ed-contact,hrva-norfolk-economic-development,Norfolk Department of Economic Development Contact,https://norfolkdevelopment.com/contact-us-2/,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department identity; address; phone; mission
src-vb-ed,hrva-virginia-beach-economic-development,Virginia Beach Department of Economic Development,https://yesvirginiabeach.com/,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department identity; business-support role
src-vb-ed-contact,hrva-virginia-beach-economic-development,Virginia Beach Economic Development contact context,https://yesvirginiabeach.com/business-support/infrastructure-and-development-projects/solicitations/annual-services-contract-rfq,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department address; phone; city-department relationship
src-chesapeake-ed,hrva-chesapeake-economic-development,Chesapeake Economic Development,https://chesapeakeva.biz/,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department identity; Chesapeake address/contact; business-support role
src-portsmouth-ed,hrva-portsmouth-economic-development,Portsmouth Economic Development,https://www.accessportsmouthva.com/,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department identity; business-support role; contact
src-hampton-ed,hrva-hampton-economic-development,City of Hampton Economic Development,https://www.hampton.gov/4072/Economic-Development,official_local_government_webpage,2026-08-22,public_factual_reference,department identity; office location; economic-development role
src-newport-news-ed-contact,hrva-newport-news-economic-development-authority,Newport News Economic Development Contact,https://newportnewsva.com/contact/,official_local_economic_development_webpage,2026-08-22,public_factual_reference,authority/department contact; address; phone
src-iow-ed,hrva-isle-of-wight-economic-development,Isle of Wight County Economic Development Department,https://www.insidetheisle.com/about-us/economic-development-department/,official_local_government_economic_development_webpage,2026-08-22,public_factual_reference,department identity; address; phone; email
src-jcc-ed-contact,hrva-james-city-county-economic-development,James City County Economic Development Contact Us,https://www.jamescitycountyva.gov/3160/Contact-Us,official_local_government_webpage,2026-08-22,public_factual_reference,office identity; address; phone
src-york-ed,hrva-york-county-economic-tourism-development,York County Economic Development,https://www.yorkcounty.gov/239/Economic-Development,official_local_government_webpage,2026-08-22,public_factual_reference,department identity; business-support role
src-york-guide-2026,hrva-york-county-economic-tourism-development,York County 2026 Development Guide,https://www.yorkcounty.gov/DocumentCenter/View/49283/Business-Services-Brochure,official_local_government_publication,2026-08-22,public_factual_reference,historical/contact address context; business services
src-williamsburg-eda,hrva-williamsburg-economic-development-authority,City of Williamsburg Economic Development Authority,https://williamsburgva.gov/408/Economic-Development-Authority-EDA,official_local_government_webpage,2026-08-22,public_factual_reference,authority identity; public-authority status; municipal contact
src-towne-churchland,hrva-townebank,TowneBank Churchland,https://www.townebank.com/location-and-atms/portsmouth-churchland/,official_bank_webpage,2026-08-22,public_factual_reference,Hampton Roads branch address; business/commercial services
src-towne-oldpoint-transition,hrva-townebank,TowneBank Old Point Partnership,https://www.townebank.com/campaigns/partners/oldpoint/,official_bank_webpage,2026-08-22,public_factual_reference,"Old Point transition to TowneBank on February 9, 2026"
src-towne-oldpoint-merger,hrva-townebank,TowneBank Old Point Merger Completion,https://www.townebank.com/about-towne/news-room/2025/old-point-close/,official_bank_press_release,2026-08-22,public_factual_reference,"merger effective September 1, 2025; Old Point National Bank merged into TowneBank"
src-langley-business,hrva-langley-federal-credit-union,Langley Federal Credit Union Business SBA Loans,https://www.langleyfcu.org/business-sba-loans,official_financial_institution_webpage,2026-08-22,public_factual_reference,business/SBA lending services
src-langley-locations,hrva-langley-federal-credit-union,Langley Federal Credit Union Locations,https://www.langleyfcu.org/locations/,official_financial_institution_webpage,2026-08-22,public_factual_reference,Hampton Roads location network
src-bayport-contact,hrva-bayport-credit-union,BayPort Credit Union Contact,https://www.bayportcu.org/contact/,official_financial_institution_webpage,2026-08-22,public_factual_reference,identity; headquarters address
src-bayport-business,hrva-bayport-credit-union,BayPort Business Banking and Loans,https://www.bayportcu.org/business-banking-and-loans/,official_financial_institution_webpage,2026-08-22,public_factual_reference,business banking/lending services
src-1stadv-business,hrva-first-advantage-federal-credit-union,1st Advantage Business Banking,https://www.1stadvantage.org/business-banking/,official_financial_institution_webpage,2026-08-22,public_factual_reference,"business accounts, loans, SBA/business services"
src-1stadv-locations,hrva-first-advantage-federal-credit-union,1st Advantage Locations & ATMs,https://www.1stadvantage.org/locations-atms/,official_financial_institution_webpage,2026-08-22,public_factual_reference,headquarters/branch address
src-chartway-business,hrva-chartway-credit-union,Chartway Business Accounts & Services,https://www.chartway.com/business/business-accounts-services.html,official_financial_institution_webpage,2026-08-22,public_factual_reference,business accounts/services; contact context
src-abnb-contact,hrva-abnb-federal-credit-union,ABNB Contact Us,https://www.abnbfcu.org/contact-us.html,official_financial_institution_webpage,2026-08-22,public_factual_reference,identity; corporate-office address
src-abnb-business,hrva-abnb-federal-credit-union,ABNB Business Services,https://www.abnbfcu.org/business-banking/business-services,official_financial_institution_webpage,2026-08-22,public_factual_reference,business banking/services
src-aub-business,hrva-atlantic-union-bank,Atlantic Union Bank Business,https://www.atlanticunionbank.com/business,official_bank_webpage,2026-08-22,public_factual_reference,business banking services
src-aub-commercial-locations,hrva-atlantic-union-bank,Atlantic Union Bank Commercial Locations,https://www.atlanticunionbank.com/commercial/commercial-banking-education-tools/commercial-locations,official_bank_webpage,2026-08-22,public_factual_reference,commercial banking locations
src-gather-locations,hrva-gather-workspaces,Gather Workspaces Locations,https://gatherworkspaces.com/locations/,official_commercial_provider_webpage,2026-08-22,public_factual_reference,"provider identity; Newport News, Norfolk, and Virginia Beach locations"
