seed_key,display_name,provider_class_candidate,participation_policy_candidate,provider_type_candidate,resource_category_candidate,service_name,service_summary,primary_source_id,entity_shape_candidate,canonical_parent_candidate,classification_review_required,canonicalization_review_required,intended_claim_state,ingestion_status,website,aliases,service_area_labels,sourced_programs,review_notes
hrva-virginia-beach-hive,The HIVE,community_institutional,free_standard,public-program,entrepreneurship_startup_support,Small-business resource hub,"Small-business resource navigation, entrepreneurship support, workspace, and business programming provided by Virginia Beach Economic Development.",src-vb-hive,program,Virginia Beach Department of Economic Development,false,true,unclaimed,ready_for_staging,https://yesvirginiabeach.com/the-hive,Virginia Beach HIVE,Virginia Beach,,Model as a Virginia Beach Economic Development program unless canonical rules support a separate public-program identity.
hrva-norfolk-economic-development,Norfolk Department of Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and business-support services for Norfolk.",src-norfolk-ed-contact,operating_unit,City of Norfolk,false,true,unclaimed,ready_for_staging,https://norfolkdevelopment.com/,Norfolk Economic Development,Norfolk,,Canonicalize against any existing City of Norfolk organization record.
hrva-virginia-beach-economic-development,Virginia Beach Department of Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for Virginia Beach.",src-vb-ed,operating_unit,City of Virginia Beach,false,true,unclaimed,ready_for_staging,https://yesvirginiabeach.com/,Virginia Beach Economic Development,Virginia Beach,The HIVE,Canonicalize against any existing City of Virginia Beach organization record; keep The HIVE as a program relationship unless policy says otherwise.
hrva-chesapeake-economic-development,Chesapeake Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for Chesapeake.",src-chesapeake-ed,operating_unit,City of Chesapeake,false,true,unclaimed,ready_for_staging,https://chesapeakeva.biz/,,Chesapeake,,Canonicalize against any existing City of Chesapeake organization record.
hrva-portsmouth-economic-development,Portsmouth Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for Portsmouth.",src-portsmouth-ed,operating_unit,City of Portsmouth,false,true,unclaimed,ready_for_staging,https://www.accessportsmouthva.com/,,Portsmouth,,Canonicalize against any existing City of Portsmouth organization record.
hrva-hampton-economic-development,Hampton Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for Hampton.",src-hampton-ed,operating_unit,City of Hampton,false,true,unclaimed,ready_for_staging,https://www.hampton.gov/4072/Economic-Development,Hampton Economic Development Department,Hampton,Hampton REaKTOR Technology Innovation Center,Canonicalize against City of Hampton; keep REaKTOR as a program relationship unless policy says otherwise.
hrva-newport-news-economic-development-authority,Newport News Economic Development Authority,community_institutional,free_standard,economic-development-authority,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and investment-support services for Newport News.",src-newport-news-ed-contact,public_authority,,false,true,unclaimed,ready_for_staging,https://newportnewsva.com/,Newport News EDA,Newport News,,Official sources reference both the Economic Development Authority and Industrial Development Authority; resolve canonical authority identity before promotion.
hrva-isle-of-wight-economic-development,Isle of Wight County Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for Isle of Wight County.",src-iow-ed,operating_unit,Isle of Wight County,false,true,unclaimed,ready_for_staging,https://www.insidetheisle.com/,,Isle of Wight County,,Canonicalize against any existing Isle of Wight County organization record.
hrva-james-city-county-economic-development,James City County Office of Economic Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for James City County.",src-jcc-ed-contact,operating_unit,James City County,false,true,unclaimed,ready_for_staging,https://www.jamescitycountyva.gov/3160/Contact-Us,James City County Economic Development,James City County,Launchpad Greater Williamsburg Business Incubator,Canonicalize against any existing James City County organization record; Launchpad is a joint initiative and should remain a separate program relationship.
hrva-york-county-economic-tourism-development,York County Department of Economic & Tourism Development,community_institutional,free_standard,economic-development-office,economic_business_development,Economic development and business support,"Economic-development, business-retention, site-selection, and small-business support for York County.",src-york-ed,operating_unit,York County,false,true,unclaimed,ready_for_staging,https://www.yorkcounty.gov/239/Economic-Development,York County Economic Development,York County,Launchpad Greater Williamsburg Business Incubator,Canonicalize against any existing York County organization record. Current office address requires final review because official county materials have shown different addresses.
hrva-williamsburg-economic-development-authority,Williamsburg Economic Development Authority,community_institutional,free_standard,economic-development-authority,economic_business_development,Economic development and business support,Economic-development and business-support activities of the Williamsburg Economic Development Authority.,src-williamsburg-eda,public_authority,,false,false,unclaimed,ready_for_staging,https://williamsburgva.gov/408/Economic-Development-Authority-EDA,Williamsburg EDA,Williamsburg,Launchpad Greater Williamsburg Business Incubator,Treat as a standalone public authority unless entity resolution finds an existing canonical record.
hrva-townebank,TowneBank,commercial,commercial_paid,bank,capital_finance,Business banking and commercial finance,Business-banking and commercial-finance services available through TowneBank in Hampton Roads.,src-towne-churchland,organization,,false,true,unclaimed,ready_for_staging,https://www.townebank.com/,"Old Point National Bank | The Old Point National Bank of Phoebus | Old Point National Bank, a Division of TowneBank","Hampton Roads, Virginia",,"Do not create a separate current Old Point bank identity. TowneBank states Old Point locations, accounts, and systems came under the TowneBank name on February 9, 2026; retain Old Point names as aliases/source identifiers."
hrva-langley-federal-credit-union,Langley Federal Credit Union,commercial,commercial_paid,credit-union,capital_finance,Business banking and SBA lending,"Business-banking, commercial-lending, and SBA-lending services offered by Langley Federal Credit Union.",src-langley-business,organization,,false,false,unclaimed,ready_for_staging,https://www.langleyfcu.org/,Langley FCU,"Hampton Roads, Virginia",,
hrva-bayport-credit-union,BayPort Credit Union,commercial,commercial_paid,credit-union,capital_finance,Business banking and commercial lending,Business-banking and lending services offered by BayPort Credit Union.,src-bayport-business,organization,,false,false,unclaimed,ready_for_staging,https://www.bayportcu.org/,,"Hampton Roads, Virginia",,
hrva-first-advantage-federal-credit-union,1st Advantage Federal Credit Union,commercial,commercial_paid,credit-union,capital_finance,Business banking and commercial lending,"Business accounts, business loans, and SBA-related services offered by 1st Advantage Federal Credit Union.",src-1stadv-business,organization,,false,false,unclaimed,ready_for_staging,https://www.1stadvantage.org/,1st Advantage FCU,"Hampton Roads, Virginia",,
hrva-chartway-credit-union,Chartway Credit Union,commercial,commercial_paid,credit-union,capital_finance,Business banking and commercial services,Business accounts and business services offered by Chartway Credit Union.,src-chartway-business,organization,,false,false,unclaimed,ready_for_staging,https://www.chartway.com/,,"Hampton Roads, Virginia",,
hrva-abnb-federal-credit-union,ABNB Federal Credit Union,commercial,commercial_paid,credit-union,capital_finance,Business banking and commercial services,Business-banking and business-service offerings from ABNB Federal Credit Union.,src-abnb-business,organization,,false,false,unclaimed,ready_for_staging,https://www.abnbfcu.org/,ABNB FCU,"Hampton Roads, Virginia",,
hrva-atlantic-union-bank,Atlantic Union Bank,commercial,commercial_paid,bank,capital_finance,Business banking and commercial finance,Business-banking and commercial-finance services available through Atlantic Union Bank in Hampton Roads.,src-aub-business,organization,,false,false,unclaimed,ready_for_staging,https://www.atlanticunionbank.com/,,"Hampton Roads, Virginia",,
hrva-gather-workspaces,Gather Workspaces,commercial,commercial_paid,coworking-space,workspace_business_facilities,"Coworking, meeting, and office space","Commercial coworking, meeting, and office-space locations in Newport News, Norfolk, and Virginia Beach.",src-gather-locations,organization,,false,false,unclaimed,ready_for_staging,https://gatherworkspaces.com/,Gather,"Hampton Roads, Virginia",,
